,cluster,geneFrequency,geneFrequencyOutsideCluster,geneFrequencyGlobal,qval
ZNF667-AS1,D1,0.489945155393053,0,0.353562005277045,4.25724640954685e-46
CHCHD2,D1,0.541133455210238,0,0.390501319261214,4.34738230725383e-53
RPS4Y1,D1,0.493601462522852,0.004739336492891,0.357519788918206,1.29805626582142e-44
AC012645.1,D1,0.431444241316271,0.023696682464455,0.317941952506596,4.1444307504258e-31
REC8,D1,0.389396709323583,0.004739336492891,0.282321899736148,6.66655383610507e-32
SPP1,D1,0.418647166361974,0.042654028436019,0.313984168865435,1.70314628854588e-25
DPP7,D1,0.46617915904936,0.0758293838862559,0.357519788918206,2.44741317660705e-24
AC069277.1,D1,0.330895795246801,0,0.238786279683377,1.66126567759718e-27
ZNF680,D1,0.325411334552102,0,0.234828496042216,5.54608408205179e-27
HLTF,D1,0.59963436928702,0.0853080568720379,0.45646437994723,2.72546252650815e-38
MSANTD2,D1,0.455210237659963,0.109004739336493,0.358839050131926,2.98404862591905e-18
COL25A1,D1,0.411334552102377,0.0947867298578199,0.323218997361478,3.33924231123986e-16
EMB,D1,0.424131627056673,0.104265402843602,0.33509234828496,4.3328795582748e-16
OSTF1,D1,0.374771480804388,0.0710900473933649,0.29023746701847,2.72157528945118e-16
IFITM3,D1,0.725776965265082,0.028436018957346,0.531662269129288,4.20830165051662e-73
IFITM2,D1,0.575868372943327,0.127962085308057,0.451187335092348,5.90416547737478e-28
CLRN1,D1,0.39853747714808,0.109004739336493,0.317941952506596,2.21928998766361e-13
SNX19,D1,0.376599634369287,0.0947867298578199,0.298153034300792,2.53726633509889e-13
ARHGAP32,D1,0.416819012797075,0.123222748815166,0.33509234828496,3.0987074167603e-13
ZNF677,D1,0.29981718464351,0.00947867298578199,0.218997361477573,3.30614892110554e-21
SPA17,D1,0.451553930530165,0.14218009478673,0.365435356200528,6.33410118605471e-14
CDON,D1,0.488117001828154,0.151658767772512,0.394459102902375,5.76963778290279e-16
ENO3,D1,0.393053016453382,0.113744075829384,0.315303430079156,1.92815792963623e-12
